id,Дата,"Пробег, км",Время движения час:мин:сек,"Время работы двигателя, час:мин:сек","Время работы двигателя в движении, час:мин:сек","Время работы двигателя без движения, час:мин:сек","Время работы двигателя на холостом ходу, час:мин:сек","Время работы двигателя на нормальных оборотах, час:мин:сек","Время работы двигателя на предельных оборотах, час:мин:сек","Время с выключенным двигателем, час:мин:сек","Время работы двигателя под нагрузкой, час:мин:сек","Начальный объём, л.1","Конечный объём, л.1"
734,01.12.2021,1.21,00:04:57,01:08:11,00:04:57,01:03:14,00:11:51,00:56:20,00:00:00,22:51:49,00:56:20,315.4,297.0
734,02.12.2021,1.04,00:03:27,05:49:34,00:03:26,05:46:08,05:47:01,00:02:33,00:00:00,18:10:26,00:02:33,294.3,245.4
734,03.12.2021,1.72,00:04:12,03:01:58,00:04:12,02:57:46,02:37:20,00:24:38,00:00:00,20:58:02,00:24:38,244.9,217.8
734,04.12.2021,0.43,00:10:29,07:01:23,00:10:29,06:50:54,06:58:17,00:03:06,00:00:00,16:58:37,00:03:06,217.0,176.9
734,05.12.2021,1.23,00:05:14,02:33:22,00:05:02,02:28:20,02:29:52,00:03:30,00:00:00,21:26:38,00:03:30,174.1,127.6
734,06.12.2021,0.69,00:04:24,06:26:02,00:04:24,06:21:38,06:17:17,00:08:45,00:00:00,17:33:58,00:08:45,128.0,106.5
734,07.12.2021,3.05,00:05:27,06:05:49,00:05:25,06:00:24,05:59:35,00:06:14,00:00:00,17:54:11,00:06:14,107.1,486.1
734,08.12.2021,11.56,00:29:59,09:06:30,00:29:59,08:36:31,07:18:30,01:48:00,00:00:00,14:53:30,01:48:00,488.6,467.7
734,09.12.2021,0.69,00:05:12,08:52:20,00:05:12,08:47:08,08:24:37,00:27:43,00:00:00,15:07:40,00:27:43,475.6,428.2
734,10.12.2021,3.01,00:00:00,00:06:01,00:00:00,00:06:01,00:06:01,00:00:00,00:00:00,23:53:59,00:00:00,428.0,427.8
734,11.12.2021,2.18,00:04:13,02:51:24,00:04:13,02:47:11,02:49:15,00:02:09,00:00:00,21:08:36,00:02:09,427.8,381.4
